,dhlabid,urn,title,city,timestamp,year,doctype,word,count,positive,negative,sentimentscore
0,200272007,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080109_10_1_1,budstikkasoegne,Kristiansand,20080109,2008,digavis,biblioteket,4,10,1,9
1,200272008,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080116_10_2_1,budstikkasoegne,Kristiansand,20080116,2008,digavis,biblioteket,2,2,2,0
2,200272009,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080123_10_3_1,budstikkasoegne,Kristiansand,20080123,2008,digavis,biblioteket,1,0,1,-1
3,200272010,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080130_10_4_1,budstikkasoegne,Kristiansand,20080130,2008,digavis,biblioteket,2,0,3,-3
4,200272011,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080206_10_5_1,budstikkasoegne,Kristiansand,20080206,2008,digavis,biblioteket,2,0,2,-2
5,200272012,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1,budstikkasoegne,Kristiansand,20080213,2008,digavis,biblioteket,9,6,11,-5
6,200272013,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080220_10_7_1,budstikkasoegne,Kristiansand,20080220,2008,digavis,biblioteket,1,0,3,-3
7,200272014,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080227_10_8_1,budstikkasoegne,Kristiansand,20080227,2008,digavis,biblioteket,2,1,2,-1
8,200272015,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080305_10_9_1,budstikkasoegne,Kristiansand,20080305,2008,digavis,biblioteket,2,0,1,-1
9,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,8,16,-8
10,200272017,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080319_10_11_1,budstikkasoegne,Kristiansand,20080319,2008,digavis,biblioteket,8,5,9,-4
11,200272019,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080402_10_13_1,budstikkasoegne,Kristiansand,20080402,2008,digavis,biblioteket,4,5,5,0
12,200272020,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080409_10_14_1,budstikkasoegne,Kristiansand,20080409,2008,digavis,biblioteket,1,0,0,0
13,200272022,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080423_10_16_1,budstikkasoegne,Kristiansand,20080423,2008,digavis,biblioteket,1,0,0,0
14,200272023,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1,budstikkasoegne,Kristiansand,20080430,2008,digavis,biblioteket,6,10,7,3
15,200272025,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080514_10_19_1,budstikkasoegne,Kristiansand,20080514,2008,digavis,biblioteket,1,0,0,0
16,200272026,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080521_10_20_1,budstikkasoegne,Kristiansand,20080521,2008,digavis,biblioteket,1,0,0,0
17,200272029,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080611_10_23_1,budstikkasoegne,Kristiansand,20080611,2008,digavis,biblioteket,2,4,1,3
18,200272033,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080709_10_27_1,budstikkasoegne,Kristiansand,20080709,2008,digavis,biblioteket,1,0,0,0
19,200272034,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080716_10_28_1,budstikkasoegne,Kristiansand,20080716,2008,digavis,biblioteket,1,0,1,-1
20,200272035,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080723_10_29_1,budstikkasoegne,Kristiansand,20080723,2008,digavis,biblioteket,2,0,1,-1
21,200272039,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080820_10_33_1,budstikkasoegne,Kristiansand,20080820,2008,digavis,biblioteket,1,1,0,1
22,200272041,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080903_10_35_1,budstikkasoegne,Kristiansand,20080903,2008,digavis,biblioteket,1,2,0,2
23,200272042,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080910_10_36_1,budstikkasoegne,Kristiansand,20080910,2008,digavis,biblioteket,1,0,0,0
24,200272043,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080917_10_37_1,budstikkasoegne,Kristiansand,20080917,2008,digavis,biblioteket,1,1,0,1
25,200272044,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080924_10_38_1,budstikkasoegne,Kristiansand,20080924,2008,digavis,biblioteket,1,1,1,0
26,200272046,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20081008_10_40_1,budstikkasoegne,Kristiansand,20081008,2008,digavis,biblioteket,1,1,0,1
27,200272051,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20081112_10_45_1,budstikkasoegne,Kristiansand,20081112,2008,digavis,biblioteket,2,2,1,1
28,200272052,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20081119_10_46_1,budstikkasoegne,Kristiansand,20081119,2008,digavis,biblioteket,2,1,2,-1
29,200272053,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20081126_10_47_1,budstikkasoegne,Kristiansand,20081126,2008,digavis,biblioteket,1,2,1,1
