,dhlabid,urn,title,city,timestamp,year,doctype,word,count,positive,negative,sentimentscore,url
0,200272007,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080109_10_1_1,budstikkasoegne,Kristiansand,20080109,2008,digavis,biblioteket,4,1,0,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080109_10_1_1?searchText=biblioteket
1,200272007,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080109_10_1_1,budstikkasoegne,Kristiansand,20080109,2008,digavis,biblioteket,4,2,0,2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080109_10_1_1?searchText=biblioteket
2,200272007,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080109_10_1_1,budstikkasoegne,Kristiansand,20080109,2008,digavis,biblioteket,4,1,0,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080109_10_1_1?searchText=biblioteket
3,200272007,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080109_10_1_1,budstikkasoegne,Kristiansand,20080109,2008,digavis,biblioteket,4,1,1,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080109_10_1_1?searchText=biblioteket
4,200272008,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080116_10_2_1,budstikkasoegne,Kristiansand,20080116,2008,digavis,biblioteket,2,0,2,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080116_10_2_1?searchText=biblioteket
5,200272008,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080116_10_2_1,budstikkasoegne,Kristiansand,20080116,2008,digavis,biblioteket,2,4,1,3,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080116_10_2_1?searchText=biblioteket
6,200272009,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080123_10_3_1,budstikkasoegne,Kristiansand,20080123,2008,digavis,biblioteket,1,1,2,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080123_10_3_1?searchText=biblioteket
7,200272010,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080130_10_4_1,budstikkasoegne,Kristiansand,20080130,2008,digavis,biblioteket,2,0,2,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080130_10_4_1?searchText=biblioteket
8,200272010,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080130_10_4_1,budstikkasoegne,Kristiansand,20080130,2008,digavis,biblioteket,2,0,1,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080130_10_4_1?searchText=biblioteket
9,200272011,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080206_10_5_1,budstikkasoegne,Kristiansand,20080206,2008,digavis,biblioteket,2,0,0,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080206_10_5_1?searchText=biblioteket
10,200272011,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080206_10_5_1,budstikkasoegne,Kristiansand,20080206,2008,digavis,biblioteket,2,0,2,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080206_10_5_1?searchText=biblioteket
11,200272012,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1,budstikkasoegne,Kristiansand,20080213,2008,digavis,biblioteket,9,0,1,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1?searchText=biblioteket
12,200272012,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1,budstikkasoegne,Kristiansand,20080213,2008,digavis,biblioteket,9,1,0,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1?searchText=biblioteket
13,200272012,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1,budstikkasoegne,Kristiansand,20080213,2008,digavis,biblioteket,9,1,0,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1?searchText=biblioteket
14,200272012,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1,budstikkasoegne,Kristiansand,20080213,2008,digavis,biblioteket,9,0,3,-3,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1?searchText=biblioteket
15,200272012,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1,budstikkasoegne,Kristiansand,20080213,2008,digavis,biblioteket,9,1,0,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1?searchText=biblioteket
16,200272012,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1,budstikkasoegne,Kristiansand,20080213,2008,digavis,biblioteket,9,1,1,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1?searchText=biblioteket
17,200272012,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1,budstikkasoegne,Kristiansand,20080213,2008,digavis,biblioteket,9,2,1,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1?searchText=biblioteket
18,200272012,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1,budstikkasoegne,Kristiansand,20080213,2008,digavis,biblioteket,9,2,0,2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1?searchText=biblioteket
19,200272013,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080220_10_7_1,budstikkasoegne,Kristiansand,20080220,2008,digavis,biblioteket,1,0,3,-3,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080220_10_7_1?searchText=biblioteket
20,200272014,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080227_10_8_1,budstikkasoegne,Kristiansand,20080227,2008,digavis,biblioteket,2,0,1,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080227_10_8_1?searchText=biblioteket
21,200272015,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080305_10_9_1,budstikkasoegne,Kristiansand,20080305,2008,digavis,biblioteket,2,1,0,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080305_10_9_1?searchText=biblioteket
22,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,0,1,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1?searchText=biblioteket
23,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,1,0,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1?searchText=biblioteket
24,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,1,3,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1?searchText=biblioteket
25,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,0,2,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1?searchText=biblioteket
26,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,0,3,-3,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1?searchText=biblioteket
27,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,0,1,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1?searchText=biblioteket
28,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,0,1,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1?searchText=biblioteket
29,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,1,1,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1?searchText=biblioteket
30,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,1,3,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1?searchText=biblioteket
31,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,0,1,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1?searchText=biblioteket
32,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,0,1,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1?searchText=biblioteket
33,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,0,2,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1?searchText=biblioteket
34,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,1,0,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1?searchText=biblioteket
35,200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,Kristiansand,20080312,2008,digavis,biblioteket,13,0,2,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1?searchText=biblioteket
36,200272017,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080319_10_11_1,budstikkasoegne,Kristiansand,20080319,2008,digavis,biblioteket,8,0,1,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080319_10_11_1?searchText=biblioteket
37,200272017,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080319_10_11_1,budstikkasoegne,Kristiansand,20080319,2008,digavis,biblioteket,8,1,1,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080319_10_11_1?searchText=biblioteket
38,200272017,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080319_10_11_1,budstikkasoegne,Kristiansand,20080319,2008,digavis,biblioteket,8,0,3,-3,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080319_10_11_1?searchText=biblioteket
39,200272017,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080319_10_11_1,budstikkasoegne,Kristiansand,20080319,2008,digavis,biblioteket,8,1,2,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080319_10_11_1?searchText=biblioteket
40,200272017,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080319_10_11_1,budstikkasoegne,Kristiansand,20080319,2008,digavis,biblioteket,8,0,0,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080319_10_11_1?searchText=biblioteket
41,200272017,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080319_10_11_1,budstikkasoegne,Kristiansand,20080319,2008,digavis,biblioteket,8,0,2,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080319_10_11_1?searchText=biblioteket
42,200272019,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080402_10_13_1,budstikkasoegne,Kristiansand,20080402,2008,digavis,biblioteket,4,0,2,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080402_10_13_1?searchText=biblioteket
43,200272019,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080402_10_13_1,budstikkasoegne,Kristiansand,20080402,2008,digavis,biblioteket,4,3,0,3,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080402_10_13_1?searchText=biblioteket
44,200272019,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080402_10_13_1,budstikkasoegne,Kristiansand,20080402,2008,digavis,biblioteket,4,4,1,3,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080402_10_13_1?searchText=biblioteket
45,200272019,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080402_10_13_1,budstikkasoegne,Kristiansand,20080402,2008,digavis,biblioteket,4,1,1,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080402_10_13_1?searchText=biblioteket
46,200272019,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080402_10_13_1,budstikkasoegne,Kristiansand,20080402,2008,digavis,biblioteket,4,0,2,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080402_10_13_1?searchText=biblioteket
47,200272020,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080409_10_14_1,budstikkasoegne,Kristiansand,20080409,2008,digavis,biblioteket,1,0,2,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080409_10_14_1?searchText=biblioteket
48,200272022,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080423_10_16_1,budstikkasoegne,Kristiansand,20080423,2008,digavis,biblioteket,1,0,1,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080423_10_16_1?searchText=biblioteket
49,200272023,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1,budstikkasoegne,Kristiansand,20080430,2008,digavis,biblioteket,6,1,1,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1?searchText=biblioteket
50,200272023,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1,budstikkasoegne,Kristiansand,20080430,2008,digavis,biblioteket,6,0,1,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1?searchText=biblioteket
51,200272023,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1,budstikkasoegne,Kristiansand,20080430,2008,digavis,biblioteket,6,5,1,4,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1?searchText=biblioteket
52,200272023,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1,budstikkasoegne,Kristiansand,20080430,2008,digavis,biblioteket,6,0,1,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1?searchText=biblioteket
53,200272023,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1,budstikkasoegne,Kristiansand,20080430,2008,digavis,biblioteket,6,1,3,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1?searchText=biblioteket
54,200272023,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1,budstikkasoegne,Kristiansand,20080430,2008,digavis,biblioteket,6,1,1,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1?searchText=biblioteket
55,200272023,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1,budstikkasoegne,Kristiansand,20080430,2008,digavis,biblioteket,6,0,2,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1?searchText=biblioteket
56,200272025,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080514_10_19_1,budstikkasoegne,Kristiansand,20080514,2008,digavis,biblioteket,1,0,0,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080514_10_19_1?searchText=biblioteket
